GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
438628728,20150605,201506,2015,2015.4247,VNMGOV,VIETNAM,VNM,,,,,GOV,,,CHNGOV,CHINA,CHN,,,,,GOV,,,1,018,018,01,1,3.4,4,1,4,-5.4421768707483,4,"Yangtze River, China (general), China",CH,CH00,31.7867,121.141,-1899838,4,"Yangtze River, China (general), China",CH,CH00,31.7867,121.141,-1899838,4,"Yangtze River, China (general), China",CH,CH00,31.7867,121.141,-1899838,20150605,http://vietnamnews.vn/politics-laws/271308/viet-nam-sends-condolences.html
448477562,20150712,201507,2015,2015.526,SGPGOV,SINGAPORE,SGP,,,,,GOV,,,CHNGOV,XI JINPING,CHN,,,,,GOV,,,1,043,043,04,1,2.8,10,1,10,2.01550387596899,4,"Tianjin, Tianjin, China",CH,CH28,39.1422,117.177,-1928564,4,"Tianjin, Tianjin, China",CH,CH28,39.1422,117.177,-1928564,4,"Tianjin, Tianjin, China",CH,CH28,39.1422,117.177,-1928564,20150712,http://www.straitstimes.com/opinion/in-singapore-china-finds-a-trusted-friend
91725019,20120324,201203,2012,2012.2301,SGPGOV,LEE HSIEN LOONG,SGP,,,,,GOV,,,CHNGOV,CHINA,CHN,,,,,GOV,,,1,057,057,05,1,8.0,9,1,9,4.1958041958042,4,"Tianjin, Tianjin, China",CH,CH28,39.1422,117.177,-1928564,4,"Tianjin, Tianjin, China",CH,CH28,39.1422,117.177,-1928564,4,"Tianjin, Tianjin, China",CH,CH28,39.1422,117.177,-1928564,20130203,unspecified
482262867,20151105,201511,2015,2015.8356,SGPGOV,WONG KAN SENG,SGP,,,,,GOV,,,CHNGOV,QIAN QICHEN,CHN,,,,,GOV,,,1,030,030,03,1,4.0,10,1,10,2.32558139534884,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,20151105,http://www.straitstimes.com/singapore/low-key-start-to-flourishing-friendship
8019266,19890802,198908,1989,1989.5808,IDNGOV,SUHARTO,IDN,,,,,GOV,,,CHNGOV,QIAN QICHEN,CHN,,,,,GOV,,,1,046,046,04,1,7.0,8,1,8,4.85436893203883,4,"Tokyo, Tokyo, Japan",JA,JA40,35.685,139.751,-246227,1,China,CH,CH,35.0,105.0,0,4,"Tokyo, Tokyo, Japan",JA,JA40,35.685,139.751,-246227,20130203,unspecified
536221093,20160502,201605,2016,2016.3342,MYSGOV,MALAYSIAN,MYS,,,,,GOV,,,CHNGOV,CHINA,CHN,,,,,GOV,,,1,070,070,07,2,7.0,12,2,12,1.32970961622647,4,"Johor, Johor, Malaysia",MY,MY01,1.4655,103.758,-2405456,4,"Shanghai, Shanghai, China",CH,CH23,31.2222,121.458,-1924465,4,"Johor, Johor, Malaysia",MY,MY01,1.4655,103.758,-2405456,20160502,http://www.bernama.com/bernama/v8/ge/newsgeneral.php?id=1241333
810553323,20181217,201812,2018,2018.9507,VNMGOV,VIETNAMESE,VNM,,,,,GOV,,,CHNGOV,CHINESE,CHN,,,,,GOV,,,1,046,046,04,1,7.0,2,1,2,0.9546539379475,4,"Mekong River, Vietnam (general), Vietnam, Republic Of",VM,VM00,10.25,105.917,-3721425,4,"Mekong River, Vietnam (general), Vietnam, Republic Of",VM,VM00,10.25,105.917,-3721425,4,"Mekong River, Vietnam (general), Vietnam, Republic Of",VM,VM00,10.25,105.917,-3721425,20181217,http://www.hanoitimes.vn/news/2018/12/81E0D0C4/vietnam-china-top-diplomats-meet-for-maritime-trade-issues/
810835267,20181218,201812,2018,2018.9534,PHLGOV,PHILIPPINE,PHL,,,,,GOV,,,CHNGOV,CHINESE,CHN,,,,,GOV,,,1,040,040,04,1,1.0,6,1,6,2.93453724604966,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,20181218,https://www.prnewswire.com/news-releases/the-philippines-adds-a-direct-flight-route-to-china-300767897.html
297640773,20140516,201405,2014,2014.3726,VNMGOV,VIETNAM,VNM,,,,,GOV,,,CHNGOV,CHINA,CHN,,,,,GOV,,,1,140,140,14,3,-6.5,2,1,2,2.81531531531532,4,"South China Sea, Brunei (general), Brunei",BX,BX00,15.0,115.0,-1337919,4,"Ha Tinh, Tinh Ha Tinh, Vietnam, Republic Of",VM,VM52,18.3333,105.9,-3715076,4,"Ha Tinh, Tinh Ha Tinh, Vietnam, Republic Of",VM,VM52,18.3333,105.9,-3715076,20140516,http://www.bbc.co.uk/news/world-asia-27435612
883071747,20191029,201910,2019,2019.8192,PHLGOV,PHILIPPINE,PHL,,,,,GOV,,,CHNGOV,CHINA,CHN,,,,,GOV,,,1,040,040,04,1,1.0,1,1,1,3.90390390390391,4,"Malaca, Pangasinan, Philippines",RP,RP51,15.8334,120.378,-2436250,4,"Sikatuna, Quezon City, Philippines",RP,RPF2,14.6381,121.059,10584905,4,"Malaca, Pangasinan, Philippines",RP,RP51,15.8334,120.378,-2436250,20191029,https://www.manilatimes.net/2019/10/30/news/top-stories/china-envoy-ends-ph-tour/651967/
16776020,19960627,199606,1996,1996.4849,VNMGOV,DO MUOI,VNM,,,,,GOV,,,CHNGOV,LI PENG,CHN,,,,,GOV,,,0,043,043,04,1,2.8,1,1,1,10.1156069364162,4,"Li Peng, Zhejiang, China",CH,CH02,30.8393,119.956,11018891,4,"Hong Ha, Phú, Vietnam, Republic Of",VM,VM83,21.2401,105.345,11361838,4,"Hong Ha, Phú, Vietnam, Republic Of",VM,VM83,21.2401,105.345,11361838,20130203,unspecified
10321495,19911106,199111,1991,1991.8384,VNMGOV,DO MUOI,VNM,,,,,GOV,,,CHNGOV,JIANG ZEMIN,CHN,,,,,GOV,,,0,028,028,02,1,4.0,4,1,4,5.93869731800766,4,"Hong Ha, Phú, Vietnam, Republic Of",VM,VM83,21.2401,105.345,11361838,4,"Li Peng, Zhejiang, China",CH,CH02,30.8393,119.956,11018891,4,"Hong Ha, Phú, Vietnam, Republic Of",VM,VM83,21.2401,105.345,11361838,20130203,unspecified
38285207,20010821,200108,2001,2001.6329,PHLGOV,TEOFISTO GUINGONA,PHL,,,,,GOV,,,CHNGOV,CHINESE,CHN,,,,,GOV,,,1,010,010,01,1,0.0,10,2,10,2.13981354381148,1,United States,US,US,38.0,-97.0,0,1,United States,US,US,38.0,-97.0,0,1,United States,US,US,38.0,-97.0,0,20130203,unspecified
